Customer,Name
80000000,Allied Telesis Int'l (Asia)
80000001,Anixter Singapore Pte Ltd
80000039,Logic Devices (S) Pte Ltd
80000046,Allied Telesis Enterprise Dv
80000047,NEC Solutions (A) Pacific PL
80000064,Singapore Technologies
80000070,Synmax System (M) Sdn Bhd
80000078,NCS Communications Engrg P/L
80000136,Singasof Computers Pte Ltd
80000137,Sundry Debtor
80000173,Nera Telecommunications Ltd
80000239,Advanced Network Trinity
80000279,WORLD DISTRIBUTION NEPAL PVT
80000324,ADVANTEC NETWORK SYSTEMS
80000343,PT.DATAGLOBAL KOMUKATAMA
80000403,Micro 2000 Technology P L
80000409,CASH SALES
80000418,ALLIED TELESIS LABS LTD
80000422,MASSTRON PTE LTD
80000427,Softlogic Computers(Pvt)Ltd
80000459,Technology Devices Co. Ltd
80000473,NEW GENERATION TECHNOLOGIES
80000475,VECTOR INFOTECH PRIVATE LTD
80000502,Computer Services
80000568,The Communication Solution
80000604,UCP (PAKISTAN) PVT LTD
80000614,Allied Telesis Int'l S.A.
80000656,ALLIED TELESIS (CHINA) LTD
80000667,Advent Electronics Pte Ltd
80000696,Netplace Technologies Pvt
80000710,Renaissance Limited
80000711,INTERFACE CONNECTRONICS PVT
80000712,Renaissance Limited
80000735,ALLIED TELESIS K K (PMGT)
80000776,ALLIED TELESIS K K
80000792,"Allied Telesis Korea Co.,Ltd"
80000798,ALLIED TELESIS LABS LTD (NZ)
80000813,Allied Telesyn I (Aust)PL--
80000838,LAC VIET COMPUTING CORP.
80000861,TELNET SERVICES
80000878,Anixter Australia Pty Ltd
80000882,EXCEL MASTER LIMITED
80000895,HLS ELECTRONICS PTE LTD
80000909,CONNECTOR SYSTEMS LTD
80000914,ALLIED TELESIS NEW ZEALAND
80000924,STRATEX NETWORKS (NZ) LTD
80000950,ALLIED TELESIS HONG KONG LTD
80000951,CANVAS TECHNOLOGY PTE LTD
80000956,PALETTE MULTIMEDIA BERHAD
80000985,"ALLIED TELESIS LABS, INC"
80000994,NEWTECH NETWORKING
80000997,PERIPHERAL SOLUTIONS INC
80000998,MVT COMMUNICATIONS PUBLIC CO
80001051,Allied Telesis Labs(Phil)Inc
80001052,DWP Technologies Pvt Ltd
80001064,Ingram Micro Malaysia
80001078,Allied Widuri Sdn Bhd
80001095,Allied Telesis Taiwan--
80001096,"WORDTEXT SYSTEMS, INC."
80001103,ALLIED TELESIS INC-NSP DIV
80001125,ALPHA COMPUTERS (SINGAPORE)
80001134,Vietcomnet Corp
80001138,BINET SYSTEMS SDN BHD
80001146,ALLIED TELESIS HONG KONG LTD
80001147,Technology Devices Co.Ltd
80001148,PnP Edaran Sdn Bhd
80001160,Reliance Infocomm Limited
80001163,D DISTRIBUTE & MARKETING CO.
80001165,Advent Infotech Pvt Ltd
80001169,"FUJITSU PHILIPPINES, INC."
80001175,NEC Asia Pacific Pte Ltd
80001176,ICOM SOLUTIONS INC.
80001177,Micro-D International Inc.
80001186,"NETMARKS PHILIPPINES, INC"
80001189,NEC BUSINESS COORDINATION
80001192,Silicon Softech India Ltd
80001194,Invensys India Pvt Ltd
80001196,COMCLARK NETWORK &TECHNOLOGY
80001197,Comclark Network and
80001198,FORMIS SYSTEM & TECH SDN BHD
80001203,NUASIA DIGITAL CO.LIMITED
80001204,Allied Telesyn Asia Pacific
80001209,Reliance Communication Infra
80001212,Netplace Technologies PvtLtd
80001214,AMADEUS QATAR W.L.L
