Customer No.,PO Number,SO Number,Invoice Number,Part Number,Model Number,Serial Number,Ship Date (dd/mm/yyyy)
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G253800013",17/06/26
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G253800016",17/06/26
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G261400001",17/06/26
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G261400002",17/06/26
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G261400003",17/06/26
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G261400004",17/06/26
"80001527","DSN26-002P","SO260257","2026/SGSI000001136","990-005261-60","AT-MMCR-PWR-AC-60","A05344G261400005",17/06/26
"80001527","DSN26-004P","SO260339","2026/SGSI000001137","990-006130-00","AT-MMCTRAY6-00","CN",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700002",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700015",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700023",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700044",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700049",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700052",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700069",17/06/26
