Customer No.,PO Number,SO Number,Invoice Number,Part Number,Model Number,Serial Number,Ship Date (dd/mm/yyyy)
"80001665","PO/AI26/113","SO260646","2026/SGSI000001061","990-006296-980","AT-IE340-12GP-980","A105054261300018",08/06/26
"80001665","PO/AI26/113","SO260646","2026/SGSI000001061","990-006296-980","AT-IE340-12GP-980","A105054261300020",08/06/26
"80001665","PO/AI26/113","SO260646","2026/SGSI000001061","990-006325-20","AT-IE048-480-20","A10215G261400006",08/06/26
"80001665","PO/AI26/113","SO260646","2026/SGSI000001061","990-006325-20","AT-IE048-480-20","A10215G261400086",08/06/26
"80001665","PO/AI26/114","SO260645","2026/SGSI000001060","990-006007-90","AT-SPLX10a","A10108F260700848",08/06/26
"80001665","PO/AI26/114","SO260645","2026/SGSI000001060","990-006007-90","AT-SPLX10a","A10108F260700853",08/06/26
"80001665","PO/AI26/114","SO260645","2026/SGSI000001060","990-006007-90","AT-SPLX10a","A10108F260700854",08/06/26
"80001665","PO/AI26/114","SO260645","2026/SGSI000001060","990-006007-90","AT-SPLX10a","A10108F260700855",08/06/26
"80001665","PO/AI26/114","SO260645","2026/SGSI000001060","990-006007-90","AT-SPLX10a","A10108F260700856",08/06/26
"80001665","PO/AI26/114","SO260645","2026/SGSI000001060","990-006007-90","AT-SPLX10a","A10108F260700857",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-005392-50","AT-x230-10GT-50","A05361A260200013",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-005392-50","AT-x230-10GT-50","A05361A260200014",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-005392-50","AT-x230-10GT-50","A05361A260200015",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-005392-50","AT-x230-10GT-50","A05361A260200016",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-005392-50","AT-x230-10GT-50","A05361A260200169",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-005392-50","AT-x230-10GT-50","A05361A260200172",08/06/26
"80001653","6300597499","SO260607","2026/SGSI000001054","990-003904-00","AT-RKMT-J05","CN",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100005",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100006",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100007",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100009",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100010",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100011",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100012",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100013",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100016",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100019",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100021",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100025",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261100028",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261500004",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261500031",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261500035",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261500048",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-003841-E01","AT-x930-28GSTX-E01","A10077A261500049",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400001",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400002",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400003",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400004",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400005",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400006",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400007",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400008",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400009",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400010",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400011",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400012",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400013",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400014",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400015",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400016",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400017",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400018",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400019",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A254400020",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A260500005",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A260500012",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A260500014",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800092",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800093",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800096",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800098",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800102",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800103",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800106",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800107",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800115",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800120",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800121",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800122",08/06/26
"80001669","RIPO/2605008","SO260510","2026/SGSI000001047","990-008033-E11","AT-PWR250 v2-E11","A10576A261800123",08/06/26
"80001669","RIPO/2605006","SO260522","2026/SGSI000001048","990-006428-E11","AT-x530L-28GTX-E11","A10234G242000035",08/06/26
"80001669","RIPO/2605006","SO260522","2026/SGSI000001048","990-006428-E11","AT-x530L-28GTX-E11","A10234G242000046",08/06/26
