Customer ID,PO No.,SO No.,Invoice No.,Part No.,Model No.,Serial No.,Purchase / Ship Date
80001502,PO 00194,SO171677,2017/SGSI000003123,990-005793-30,AT-GS970M/28-30,A10023G173800019,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200007,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200030,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200064,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200067,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200387,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200811,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200875,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200993,09/11/17
80001502,PO 00194,SO171677,2017/SGSI000003123,990-005793-30,AT-GS970M/28-30,A10023G173800019,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200007,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200030,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200064,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005793-50,AT-GS970M/28-50,A10023G174200067,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200387,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200811,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200875,09/11/17
80001515,IMP62HW,SO171691,2017/SGSI000003102,990-005794-50,"AT-GS970M/28PS-50, 24P,",A10024G173200993,09/11/17
80000343,SPORD-001-0007126,SO171453,2017/SGSI000003057,990-005793-50,AT-GS970M/28-50,A10023G173800023,06/11/17
80001445,PO170181,SO171628,2017/SGSI000003063,990-005106-11,AT-x550-18XSQ-11,A10012A173400030,06/11/17
80001445,PO170181,SO171628,2017/SGSI000003063,990-005106-11,AT-x550-18XSQ-11,A10012A173400036,06/11/17
80000343,SPORD-001-0007126,SO171453,2017/SGSI000003057,990-005793-50,AT-GS970M/28-50,A10023G173800023,06/11/17
80001445,PO170181,SO171628,2017/SGSI000003063,990-005106-11,AT-x550-18XSQ-11,A10012A173400030,06/11/17
